"","date","time","lab","sample_type","parameter","value"
"601",2018-02-21,"08:30:00","Yuba City Lab","24-hr Composite","TSS (mg/L)","53"
"602",2018-02-21,"08:30:00","Yuba City Lab","24-hr Composite","BOD (mg/L)","180"
"603",2018-02-21,"08:30:00","Yuba City Lab","24-hr Composite","COD (mg/L)","320"
"606",2018-02-28,"08:30:00","Yuba City Lab","24-hr Composite","TSS (mg/L)","49"
"644",2018-03-15,"03:00:00","Yuba City Lab","12-hr Composite","TSS (mg/L)","63"
"645",2018-03-15,"03:00:00","Yuba City Lab","12-hr Composite","VSS (mg/L)","63"
"646",2018-03-15,"03:00:00","Yuba City Lab","12-hr Composite","BOD (mg/L)","170"
"648",2018-03-15,"03:00:00","Yuba City Lab","12-hr Composite","COD (mg/L)","370"
"1324",2019-03-13,"09:00:00","BC Labs","24-hr Composite","TSS (mg/L)","270"
"1325",2019-03-13,"09:00:00","BC Labs","24-hr Composite","TKN","42"
"1326",2019-03-13,"09:00:00","BC Labs","24-hr Composite","Ammonia","27"
"1327",2019-03-13,"09:00:00","BC Labs","24-hr Composite","Phosphorus","6"
"1328",2019-03-13,"09:00:00","BC Labs","24-hr Composite","BOD (mg/L)","440"
"1329",2019-03-13,"09:00:00","BC Labs","24-hr Composite","cBOD","400"
"1330",2019-03-13,"09:00:00","BC Labs","24-hr Composite","COD (mg/L)","1000"
"1359",2019-03-14,"09:00:00","BC Labs","24-hr Composite","TSS (mg/L)","86"
"1360",2019-03-14,"09:00:00","BC Labs","24-hr Composite","TKN","35"
"1361",2019-03-14,"09:00:00","BC Labs","24-hr Composite","Ammonia","38"
"1362",2019-03-14,"09:00:00","BC Labs","24-hr Composite","ortho-Phosphate","4.4000000000000004"
"1363",2019-03-14,"09:00:00","BC Labs","24-hr Composite","Phosphorus","5.4"
"1364",2019-03-14,"09:00:00","BC Labs","24-hr Composite","BOD (mg/L)","250"
"1365",2019-03-14,"09:00:00","BC Labs","24-hr Composite","cBOD","260"
"1366",2019-03-14,"09:00:00","BC Labs","24-hr Composite","COD (mg/L)","430"
"1410",2019-03-27,"08:30:00","BC Labs","24-hr Composite","TSS (mg/L)","170"
"1411",2019-03-27,"08:30:00","BC Labs","24-hr Composite","TKN","24"
"1412",2019-03-27,"08:30:00","BC Labs","24-hr Composite","Ammonia","20"
"1413",2019-03-27,"08:30:00","BC Labs","24-hr Composite","ortho-Phosphate","2.2000000000000002"
"1414",2019-03-27,"08:30:00","BC Labs","24-hr Composite","Phosphorus","3.3"
"1415",2019-03-27,"08:30:00","BC Labs","24-hr Composite","BOD (mg/L)","220"
"1416",2019-03-27,"08:30:00","BC Labs","24-hr Composite","cBOD","200"
"1417",2019-03-27,"08:30:00","BC Labs","24-hr Composite","COD (mg/L)","410"
"1437",2019-04-10,"08:30:00","BC Labs","24-hr Composite","TSS (mg/L)","210"
"1438",2019-04-10,"08:30:00","BC Labs","24-hr Composite","TKN","39"
"1439",2019-04-10,"08:30:00","BC Labs","24-hr Composite","Ammonia","46"
"1440",2019-04-10,"08:30:00","BC Labs","24-hr Composite","ortho-Phosphate","5"
"1441",2019-04-10,"08:30:00","BC Labs","24-hr Composite","Phosphorus","6.7"
"1442",2019-04-10,"08:30:00","BC Labs","24-hr Composite","BOD (mg/L)","240"
"1443",2019-04-10,"08:30:00","BC Labs","24-hr Composite","cBOD","230"
"1444",2019-04-10,"08:30:00","BC Labs","24-hr Composite","COD (mg/L)","600"
"1462",2019-04-17,"08:30:00","BC Labs","24-hr Composite","TSS (mg/L)","180"
"1463",2019-04-17,"08:30:00","BC Labs","24-hr Composite","TKN","52"
"1464",2019-04-17,"08:30:00","BC Labs","24-hr Composite","Ammonia","46"
"1465",2019-04-17,"08:30:00","BC Labs","24-hr Composite","ortho-Phosphate","5.4"
"1466",2019-04-17,"08:30:00","BC Labs","24-hr Composite","Phosphorus","8.1999999999999993"
"1467",2019-04-17,"08:30:00","BC Labs","24-hr Composite","BOD (mg/L)","320"
"1468",2019-04-17,"08:30:00","BC Labs","24-hr Composite","COD (mg/L)","660"
"1480",2019-04-24,"08:30:00","BC Labs","24-hr Composite","TSS (mg/L)","600"
"1481",2019-04-24,"08:30:00","BC Labs","24-hr Composite","VSS (mg/L)","600"
"1482",2019-04-24,"08:30:00","BC Labs","24-hr Composite","BOD (mg/L)","380"
"1483",2019-04-24,"08:30:00","BC Labs","24-hr Composite","COD (mg/L)","1100"
"1503",2019-05-01,"08:30:00","BC Labs","24-hr Composite","TSS (mg/L)","130"
"1504",2019-05-01,"08:30:00","BC Labs","24-hr Composite","TKN","43"
"1505",2019-05-01,"08:30:00","BC Labs","24-hr Composite","Ammonia","37"
"1506",2019-05-01,"08:30:00","BC Labs","24-hr Composite","ortho-Phosphate","4.8"
"1507",2019-05-01,"08:30:00","BC Labs","24-hr Composite","Phosphorus","5.9"
"1508",2019-05-01,"08:30:00","BC Labs","24-hr Composite","BOD (mg/L)","370"
"1509",2019-05-01,"08:30:00","BC Labs","24-hr Composite","cBOD","370"
"1510",2019-05-01,"08:30:00","BC Labs","24-hr Composite","COD (mg/L)","570"
"1522",2019-05-08,"08:30:00","BC Labs","24-hr Composite","TSS (mg/L)","120"
"1523",2019-05-08,"08:30:00","BC Labs","24-hr Composite","TKN","45"
"1524",2019-05-08,"08:30:00","BC Labs","24-hr Composite","Ammonia","46"
"1525",2019-05-08,"08:30:00","BC Labs","24-hr Composite","BOD (mg/L)","300"
"1526",2019-05-08,"08:30:00","BC Labs","24-hr Composite","COD (mg/L)","480"
"1537",2019-05-20,"08:30:00","BC Labs","Grab","TSS (mg/L)","81"
"1538",2019-05-20,"08:30:00","BC Labs","Grab","TKN","29"
"1539",2019-05-20,"08:30:00","BC Labs","Grab","BOD (mg/L)","230"
"1540",2019-05-20,"08:30:00","BC Labs","Grab","COD (mg/L)","290"
"1550",2019-05-29,"08:30:00","BC Labs","24-hr Composite","TSS (mg/L)","110"
"1551",2019-05-29,"08:30:00","BC Labs","24-hr Composite","BOD (mg/L)","210"
"1552",2019-05-29,"08:30:00","BC Labs","24-hr Composite","COD (mg/L)","420"
