"","date","time","lab","sample_type","parameter","value"
"1",2017-04-06,"10:00:00","BC Labs","Grab","TSS (mg/L)","240"
"4",2017-04-06,"10:00:00","BC Labs","Grab","VSS (mg/L)","240"
"6",2017-04-06,"10:00:00","BC Labs","Grab","BOD (mg/L)","180"
"8",2017-04-06,"10:00:00","BC Labs","Grab","COD (mg/L)","420"
"10",2017-04-06,"10:00:00","BC Labs","Grab","Ammonia","37"
"12",2017-04-06,"10:00:00","BC Labs","Grab","TKN","49"
"14",2017-04-06,"10:00:00","BC Labs","Grab","Alkalinity","250"
"16",2017-04-06,"10:00:00","BC Labs","Grab","ortho-Phosphate","3.5"
"18",2017-04-06,"10:00:00","BC Labs","Grab","Phosphorus","6.9"
"20",2017-04-13,"10:00:00","BC Labs","Grab","TSS (mg/L)","270"
"23",2017-04-13,"10:00:00","BC Labs","Grab","VSS (mg/L)","270"
"25",2017-04-13,"10:00:00","BC Labs","Grab","BOD (mg/L)","170"
"27",2017-04-13,"10:00:00","BC Labs","Grab","COD (mg/L)","580"
"29",2017-04-13,"10:00:00","BC Labs","Grab","Ammonia","57"
"31",2017-04-13,"10:00:00","BC Labs","Grab","TKN","48"
"33",2017-04-13,"10:00:00","BC Labs","Grab","Alkalinity","260"
"34",2017-04-13,"10:00:00","BC Labs","Grab","ortho-Phosphate","4.3"
"36",2017-04-13,"10:00:00","BC Labs","Grab","Phosphorus","6.9"
"38",2017-04-20,"10:00:00","BC Labs","Grab","TSS (mg/L)","160"
"41",2017-04-20,"10:00:00","BC Labs","Grab","VSS (mg/L)","150"
"43",2017-04-20,"10:00:00","BC Labs","Grab","BOD (mg/L)","150"
"45",2017-04-20,"10:00:00","BC Labs","Grab","COD (mg/L)","510"
"47",2017-04-20,"10:00:00","BC Labs","Grab","Ammonia","35"
"49",2017-04-20,"10:00:00","BC Labs","Grab","TKN","51"
"51",2017-04-20,"10:00:00","BC Labs","Grab","Alkalinity","240"
"53",2017-04-20,"10:00:00","BC Labs","Grab","ortho-Phosphate","3.3"
"55",2017-04-20,"10:00:00","BC Labs","Grab","Phosphorus","6.8"
"57",2017-04-27,"09:00:00","BC Labs","Grab","TSS (mg/L)","150"
"60",2017-04-27,"09:00:00","BC Labs","Grab","VSS (mg/L)","150"
"62",2017-04-27,"09:00:00","BC Labs","Grab","BOD (mg/L)","160"
"64",2017-04-27,"09:00:00","BC Labs","Grab","COD (mg/L)","360"
"66",2017-04-27,"09:00:00","BC Labs","Grab","Ammonia","39"
"68",2017-04-27,"09:00:00","BC Labs","Grab","TKN","46"
"70",2017-04-27,"09:00:00","BC Labs","Grab","Alkalinity","240"
"72",2017-04-27,"09:00:00","BC Labs","Grab","ortho-Phosphate","3.1"
"74",2017-04-27,"09:00:00","BC Labs","Grab","Phosphorus","5.4"
"76",2017-05-04,"10:00:00","BC Labs","Grab","TSS (mg/L)","260"
"79",2017-05-04,"10:00:00","BC Labs","Grab","VSS (mg/L)","260"
"81",2017-05-04,"10:00:00","BC Labs","Grab","BOD (mg/L)","170"
"83",2017-05-04,"10:00:00","BC Labs","Grab","COD (mg/L)","560"
